Brand,Model,Category,Fuel_Type,Typ,Start_Year,End_Year,HSN_TSN
MASERATI,Ghibli,轎車,柴油,Ghibli Diesel,2013,2025,N/A
MASERATI,Ghibli,轎車,汽油,Ghibli,2013,2025,N/A
MASERATI,Ghibli,轎車,汽油,Ghibli Automatik,2013,2025,N/A
MASERATI,Ghibli,轎車,汽油,"Ghibli Automatik, S",2013,2025,N/A
MASERATI,Ghibli,轎車,汽油,"Ghibli Automatik, S Q4",2013,2025,N/A
MASERATI,Ghibli,轎車,汽油,Ghibli Hybrid,2013,2025,N/A
MASERATI,Ghibli,轎車,汽油,"Ghibli Hybrid, Executive",2013,2025,N/A
MASERATI,Ghibli,轎車,汽油,"Ghibli Hybrid, GranLusso",2013,2025,N/A
MASERATI,Ghibli,轎車,汽油,"Ghibli Hybrid, GranSport",2013,2025,N/A
MASERATI,Ghibli,轎車,汽油,Ghibli S Q4,2013,2025,N/A
MASERATI,Ghibli,轎車,汽油,"Ghibli S Q4, GranLusso",2013,2025,N/A
MASERATI,Ghibli,轎車,汽油,"Ghibli S Q4, GranSport",2013,2025,N/A
MASERATI,Ghibli,轎車,汽油,"Ghibli, GT (Ultima) Hybrid",2013,2025,N/A
MASERATI,Ghibli,轎車,汽油,"Ghibli, GT Hybrid",2013,2025,N/A
MASERATI,Ghibli,轎車,汽油,"Ghibli, GranLusso",2013,2025,N/A
MASERATI,Ghibli,轎車,汽油,"Ghibli, GranSport",2013,2025,N/A
MASERATI,Ghibli,轎車,汽油,"Ghibli, Modena",2013,2025,N/A
MASERATI,Ghibli,轎車,汽油,"Ghibli, Modena (Ultima)",2013,2025,N/A
MASERATI,Ghibli,轎車,汽油,"Ghibli, Modena S Q4",2013,2025,N/A
MASERATI,Ghibli,轎車,汽油,"Ghibli, S",2013,2025,N/A
MASERATI,Ghibli,轎車,汽油,"Ghibli, S GranLusso",2013,2025,N/A
MASERATI,Ghibli,轎車,汽油,"Ghibli, S GranSport",2013,2025,N/A
MASERATI,Ghibli,轎車,汽油,"Ghibli, S Q4",2013,2025,N/A
MASERATI,Ghibli,轎車,汽油,"Ghibli, S Q4 GranLusso",2013,2025,N/A
MASERATI,Ghibli,轎車,汽油,"Ghibli, S Q4 GranSport",2013,2025,N/A
MASERATI,Ghibli,轎車,汽油,"Ghibli, Trofeo",2013,2025,N/A
MASERATI,Grancabrio,敞篷車,汽油,GranCabrio,2011,2020,N/A
