Brand,Model,Category,Fuel_Type,Typ,Start_Year,End_Year,HSN_TSN
MAZDA,3,高背掀背車,柴油,3 SKYACTIV-D 1.8,2019,至今,N/A
MAZDA,3,高背掀背車,柴油,3 SKYACTIV-D 1.8 DRIVE,2019,至今,N/A
MAZDA,3,高背掀背車,柴油,"3 SKYACTIV-D 1.8, SELECTION",2019,至今,N/A
MAZDA,3,高背掀背車,汽油,3 SKYACTIV-G 2.0 M-Hybrid,2019,至今,N/A
MAZDA,3,高背掀背車,汽油,3 SKYACTIV-G 2.0 M-Hybrid 150,2019,至今,N/A
MAZDA,3,高背掀背車,汽油,3 SKYACTIV-G 2.0 M-Hybrid 150 DRIVE,2019,至今,N/A
MAZDA,3,高背掀背車,汽油,"3 SKYACTIV-G 2.0 M-Hybrid 150 DRIVE, SELECTION",2019,至今,N/A
MAZDA,3,高背掀背車,汽油,"3 SKYACTIV-G 2.0 M-Hybrid 150, SELECTION",2019,至今,N/A
MAZDA,3,高背掀背車,汽油,3 SKYACTIV-G 2.0 M-Hybrid DRIVE,2019,至今,N/A
MAZDA,3,高背掀背車,汽油,"3 SKYACTIV-G 2.0 M-Hybrid DRIVE, SELECTION",2019,至今,N/A
MAZDA,3,高背掀背車,汽油,"3 SKYACTIV-G 2.0 M-Hybrid, SELECTION",2019,至今,N/A
MAZDA,3,高背掀背車,汽油,3 SKYACTIV-X 2.0 M-Hybrid,2019,至今,N/A
MAZDA,3,高背掀背車,汽油,3 SKYACTIV-X 2.0 M-Hybrid DRIVE,2019,至今,N/A
MAZDA,3,高背掀背車,汽油,"3 SKYACTIV-X 2.0 M-Hybrid DRIVE, SELECTION",2019,至今,N/A
MAZDA,3,高背掀背車,汽油,"3 SKYACTIV-X 2.0 M-Hybrid, 100th Anniversary",2019,至今,N/A
MAZDA,3,高背掀背車,汽油,"3 SKYACTIV-X 2.0 M-Hybrid, Edition 100",2019,至今,N/A
MAZDA,3,高背掀背車,汽油,"3 SKYACTIV-X 2.0 M-Hybrid, SELECTION",2019,至今,N/A
MAZDA,3,高背掀背車,汽油,"3 SKYACTIV-X AWD 2.0 M-Hybrid DRIVE, SELECTION",2019,至今,N/A
MAZDA,3,高背掀背車,汽油,"3 SKYACTIV-X AWD 2.0 M-Hybrid, SELECTION",2019,至今,N/A
MAZDA,3,高背掀背車,汽油,"3 e-SKYACTIV-G 122 M HYBRID DRIVE, EXCLUSIVE-LINE",2019,至今,N/A
MAZDA,3,高背掀背車,汽油,"3 e-SKYACTIV-G 122 M HYBRID DRIVE, HOMURA",2019,至今,N/A
MAZDA,3,高背掀背車,汽油,"3 e-SKYACTIV-G 122 M HYBRID DRIVE, NAGISA",2019,至今,N/A
MAZDA,3,高背掀背車,汽油,"3 e-SKYACTIV-G 122 M HYBRID DRIVE, PRIME-LINE",2019,至今,N/A
MAZDA,3,高背掀背車,汽油,"3 e-SKYACTIV-G 122 M HYBRID, EXCLUSIVE-LINE",2019,至今,N/A
MAZDA,3,高背掀背車,汽油,"3 e-SKYACTIV-G 122 M HYBRID, HOMURA",2019,至今,N/A
MAZDA,3,高背掀背車,汽油,"3 e-SKYACTIV-G 122 M HYBRID, NAGISA",2019,至今,N/A
MAZDA,3,高背掀背車,汽油,"3 e-SKYACTIV-G 122 M HYBRID, PRIME-LINE",2019,至今,N/A
MAZDA,3,高背掀背車,汽油,"3 e-SKYACTIV-G 140 M HYBRID Aut., CENTRE-LINE seit 05/2024",2019,至今,N/A
MAZDA,3,高背掀背車,汽油,"3 e-SKYACTIV-G 140 M HYBRID Aut., EXCLUSIVE-LINE seit 05/2024",2019,至今,N/A
MAZDA,3,高背掀背車,汽油,"3 e-SKYACTIV-G 140 M HYBRID Aut., HOMURA PLUS seit 03/2026",2019,至今,N/A
MAZDA,3,高背掀背車,汽油,"3 e-SKYACTIV-G 140 M HYBRID Aut., HOMURA seit 05/2024",2019,至今,N/A
