Brand,Model,Category,Fuel_Type,Typ,Start_Year,End_Year,HSN_TSN
MCLAREN,540C,雙門跑車,汽油,540C Coupe,2015,2021,N/A
MCLAREN,570 S,雙門跑車,汽油,570GT,2015,2021,N/A
MCLAREN,570 S,雙門跑車,汽油,570S Coupe,2015,2021,N/A
MCLAREN,650S,雙門跑車,汽油,650S Coupe,2014,2016,N/A
MCLAREN,675 Lt,雙門跑車,汽油,675LT,2015,2016,N/A
MCLAREN,Gt,雙門跑車,汽油,GT,2019,2021,N/A
MCLAREN,Mclaren 600Lt,雙門跑車,汽油,600LT,2018,2021,N/A
MCLAREN,Mclaren 720S,雙門跑車,汽油,720S Coupé,2018,2021,N/A
MCLAREN,Mclaren 720S,雙門跑車,汽油,"720S Coupé, Luxury",2018,2021,N/A
MCLAREN,Mclaren 720S,雙門跑車,汽油,"720S Coupé, Performance",2018,2021,N/A
MCLAREN,Mp4 12C,雙門跑車,汽油,12C Coupe,2013,2014,N/A
