Brand,Model,Category,Fuel_Type,Typ,Start_Year,End_Year,HSN_TSN
MINI-BMW,Clubman,旅行車,柴油,Mini Cooper D Clubman,2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,Mini Cooper Clubman,2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,Mini Cooper Clubman Aut.,2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper Clubman Aut., Classic Trim",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper Clubman Aut., Essential Trim",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper Clubman Aut., Estate Edition",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper Clubman Aut., John Cooper Works Trim",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper Clubman Aut., MINI Yours Trim",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper Clubman Aut., Untold Edition",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper Clubman, Classic Trim",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper Clubman, Essential Trim",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper Clubman, Estate Edition",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper Clubman, John Cooper Works Trim",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper Clubman, MINI Yours Trim",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper Clubman, Untold Edition",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,Mini Cooper S Clubman,2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,Mini Cooper S Clubman All4,2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,Mini Cooper S Clubman All4 Aut.,2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper S Clubman All4 Aut., Classic Trim",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper S Clubman All4 Aut., Essential Trim",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper S Clubman All4 Aut., Estate Edition",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper S Clubman All4 Aut., John Cooper Works Trim",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper S Clubman All4 Aut., MINI Yours Trim",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper S Clubman All4 Aut., Untold Edition",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,Mini Cooper S Clubman Aut.,2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper S Clubman Aut., Classic Trim",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper S Clubman Aut., Essential Trim",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper S Clubman Aut., Estate Edition",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper S Clubman Aut., John Cooper Works Trim",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper S Clubman Aut., MINI Final Edition",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper S Clubman Aut., MINI Untold Edition",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper S Clubman Aut., MINI Yours Trim",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper S Clubman Aut., Untold Edition",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper S Clubman, Classic Trim",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper S Clubman, Essential Trim",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper S Clubman, Estate Edition",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper S Clubman, John Cooper Works Trim",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper S Clubman, MINI Yours Trim",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini Cooper S Clubman, Untold Edition",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,Mini One Clubman,2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,Mini One Clubman Aut.,2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini One Clubman Aut., Blackyard",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini One Clubman Aut., Classic Trim",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini One Clubman Aut., Essential Trim",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini One Clubman Aut., John Cooper Works Trim",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini One Clubman Aut., MINI Yours Trim",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini One Clubman, Blackyard",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini One Clubman, Classic Trim",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini One Clubman, Essential Trim",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini One Clubman, John Cooper Works Trim",2015,2024,N/A
MINI-BMW,Clubman,旅行車,汽油,"Mini One Clubman, MINI Yours Trim",2015,2024,N/A
MINI-BMW,Clubman John Cooper Works,旅行車,汽油,Mini John Cooper Works Clubman,2008,2024,N/A
MINI-BMW,Clubman John Cooper Works,旅行車,汽油,Mini John Cooper Works Clubman All4 Aut.,2008,2024,N/A
MINI-BMW,Clubman John Cooper Works,旅行車,汽油,"Mini John Cooper Works Clubman All4 Aut., Classic Trim",2008,2024,N/A
MINI-BMW,Clubman John Cooper Works,旅行車,汽油,"Mini John Cooper Works Clubman All4 Aut., Essential Trim",2008,2024,N/A
MINI-BMW,Clubman John Cooper Works,旅行車,汽油,"Mini John Cooper Works Clubman All4 Aut., John Cooper Works Trim",2008,2024,N/A
MINI-BMW,Clubman John Cooper Works,旅行車,汽油,"Mini John Cooper Works Clubman All4 Aut., MINI Untold Edition",2008,2024,N/A
MINI-BMW,Clubman John Cooper Works,旅行車,汽油,Mini John Cooper Works Clubman Aut.,2008,2024,N/A
MINI-BMW,Clubvan,貨車,柴油,Mini Cooper D Clubvan,2012,2014,N/A
MINI-BMW,Clubvan,貨車,柴油,Mini Cooper D Clubvan Automatik,2012,2014,N/A
MINI-BMW,Clubvan,貨車,汽油,Mini Cooper Clubvan,2012,2014,N/A
MINI-BMW,Clubvan,貨車,汽油,Mini Cooper Clubvan Automatik,2012,2014,N/A
MINI-BMW,Clubvan,貨車,汽油,Mini One Clubvan,2012,2014,N/A
MINI-BMW,Clubvan,貨車,汽油,Mini One Clubvan Automatik,2012,2014,N/A
MINI-BMW,Countryman,轎車,柴油,"Mini Countryman D, Blackyard seit 01/2026",2023,至今,N/A
MINI-BMW,Countryman,轎車,柴油,"Mini Countryman D, Classic Trim",2023,至今,N/A
MINI-BMW,Countryman,轎車,柴油,"Mini Countryman D, Classic Trim seit 10/2024",2023,至今,N/A
MINI-BMW,Countryman,轎車,汽油,"Mini Countryman C, Blackyard seit 01/2026",2023,至今,N/A
MINI-BMW,Countryman,轎車,汽油,"Mini Countryman C, Classic Trim",2023,至今,N/A
MINI-BMW,Countryman,轎車,汽油,"Mini Countryman C, Classic Trim seit 10/2024",2023,至今,N/A
MINI-BMW,Countryman,轎車,汽油,"Mini Countryman C, Essential Trim",2023,至今,N/A
MINI-BMW,Countryman,轎車,汽油,"Mini Countryman C, Essential Trim seit 10/2024",2023,至今,N/A
