Brand,Model,Category,Fuel_Type,Typ,Start_Year,End_Year,HSN_TSN
MITSUBISHI,1,精選型,柴油,"Space Star 1.9 DI-D, Avance",1998,2006,N/A
MITSUBISHI,1,精選型,柴油,"Space Star 1.9 DI-D, Comfort",1998,2006,N/A
MITSUBISHI,1,精選型,柴油,"Space Star 1.9 DI-D, Family",1998,2006,N/A
MITSUBISHI,1,精選型,汽油,"Space Star 1.3, Comfort",1998,2006,N/A
MITSUBISHI,1,精選型,汽油,"Space Star 1.3, Family",1998,2006,N/A
MITSUBISHI,1,精選型,汽油,"Space Star 1.6 Automatik, Intense",1998,2006,N/A
MITSUBISHI,1,精選型,汽油,"Space Star 1.6 Automatik, Invite",1998,2006,N/A
MITSUBISHI,1,精選型,汽油,"Space Star 1.6, Avance",1998,2006,N/A
MITSUBISHI,1,精選型,汽油,"Space Star 1.6, Comfort",1998,2006,N/A
MITSUBISHI,1,精選型,汽油,"Space Star 1.6, Intense",1998,2006,N/A
MITSUBISHI,1,精選型,汽油,"Space Star 1.6, Invite",1998,2006,N/A
MITSUBISHI,1,精選型,汽油,"Space Star 1.6, Motion",1998,2006,N/A
MITSUBISHI,1,精選型,汽油,"Space Star 1.8 Automatik, Intense",1998,2006,N/A
MITSUBISHI,1,精選型,汽油,"Space Star 1.8 Automatik, Invite",1998,2006,N/A
MITSUBISHI,1,精選型,汽油,"Space Star 1.8, Avance",1998,2006,N/A
MITSUBISHI,1,精選型,汽油,"Space Star 1.8, Comfort",1998,2006,N/A
MITSUBISHI,1,精選型,汽油,"Space Star 1.8, Intense",1998,2006,N/A
MITSUBISHI,1,精選型,汽油,"Space Star 1.8, Invite",1998,2006,N/A
MITSUBISHI,1,精選型,汽油,"Space Star 1.8, Motion",1998,2006,N/A
MITSUBISHI,Asx,休旅車,插電式油電混合,"ASX 1.6 Plug-In-Hybrid, INTRO EDITION",2023,至今,N/A
MITSUBISHI,Asx,休旅車,插電式油電混合,"ASX 1.6 Plug-In-Hybrid, TOP",2023,至今,N/A
MITSUBISHI,Asx,休旅車,汽油,"ASX 1.0 Turbo, BASIS",2023,至今,N/A
