Brand,Model,Category,Fuel_Type,Typ,Start_Year,End_Year,HSN_TSN
MORGAN,44,敞篷跑車,汽油,4/4,1936,2019,N/A
MORGAN,44,敞篷跑車,汽油,4/4 4-Sitzer 1.8 16V,1936,2019,N/A
MORGAN,44,敞篷跑車,汽油,"4/4, Competition 1.8 16V",1936,2019,N/A
MORGAN,44,敞篷跑車,汽油,"4/4, Lowline",1936,2019,N/A
MORGAN,44,敞篷跑車,汽油,"4/4, Sport",1936,2019,N/A
MORGAN,Aero 8,精選型,汽油,Aero 8,2004,2017,N/A
MORGAN,Aero 8,精選型,汽油,Aero 8 Automatik,2004,2017,N/A
MORGAN,Aero 8,精選型,汽油,"Aero 8, Supersports",2004,2017,N/A
MORGAN,Aero Supersports,敞篷跑車,汽油,Aero Supersports,2012,2015,N/A
MORGAN,Aero Supersports,敞篷跑車,汽油,Aero Supersports Aut.,2012,2015,N/A
MORGAN,Plus 4,敞篷跑車,汽油,Plus 4 2.0l,2011,2019,N/A
MORGAN,Plus 4,敞篷跑車,汽油,Plus 4 2.0l 4-Sitzer,2011,2019,N/A
MORGAN,Plus 4,敞篷跑車,汽油,Plus 4 2.0l Sport,2011,2019,N/A
MORGAN,Plus 4,敞篷跑車,汽油,Plus Four,2011,2019,N/A
MORGAN,Plus 4,敞篷跑車,汽油,Plus Four Aut.,2011,2019,N/A
MORGAN,Plus 8,敞篷車,汽油,Plus 8 4.8,2012,2017,N/A
MORGAN,Plus 8,敞篷車,汽油,Plus 8 4.8 Automatik,2012,2017,N/A
MORGAN,Threewheeler,敞篷跑車,汽油,3-Wheeler,2014,2021,N/A
