Brand,Model,Category,Fuel_Type,Typ,Start_Year,End_Year,HSN_TSN
NISSAN,350Z,精選型,汽油,350 Z,2003,2009,N/A
NISSAN,350Z,精選型,汽油,"350 Z, 35TH ANNIVERSARY EDITION",2003,2009,N/A
NISSAN,350Z,精選型,汽油,"350 Z, Pack",2003,2009,N/A
NISSAN,350Z,精選型,汽油,"350 Z, Premium Pack",2003,2009,N/A
NISSAN,350Z,精選型,汽油,"350 Z, RACING EDITION",2003,2009,N/A
NISSAN,370Z,雙門跑車,汽油,370 Z,2009,2020,N/A
NISSAN,370Z,雙門跑車,汽油,370 Z Aut.,2009,2020,N/A
NISSAN,370Z,雙門跑車,汽油,"370 Z Aut., Black Edition",2009,2020,N/A
NISSAN,370Z,雙門跑車,汽油,"370 Z Aut., GT-Edition",2009,2020,N/A
NISSAN,370Z,雙門跑車,汽油,"370 Z Aut., Nürburgring Edition",2009,2020,N/A
NISSAN,370Z,雙門跑車,汽油,"370 Z Aut., Pack",2009,2020,N/A
NISSAN,370Z,雙門跑車,汽油,"370 Z, Black Edition",2009,2020,N/A
NISSAN,370Z,雙門跑車,汽油,"370 Z, GT-Edition",2009,2020,N/A
NISSAN,370Z,雙門跑車,汽油,"370 Z, Nürburgring Edition",2009,2020,N/A
NISSAN,370Z,雙門跑車,汽油,"370 Z, Pack",2009,2020,N/A
NISSAN,370Z Nismo,雙門跑車,汽油,"370 Z, NISMO",2013,2020,N/A
NISSAN,370Z Nismo,雙門跑車,汽油,"370 Z, nismo",2013,2020,N/A
NISSAN,Almera,轎車,柴油,"Almera 1.5 dCi, acenta",2002,2006,N/A
NISSAN,Almera,轎車,柴油,"Almera 1.5 dCi, acenta PLUS",2002,2006,N/A
NISSAN,Almera,轎車,汽油,"Almera 1.5, acenta",2002,2006,N/A
NISSAN,Almera,轎車,汽油,"Almera 1.5, acenta PLUS",2002,2006,N/A
NISSAN,Almera,轎車,汽油,"Almera 1.5, visia",2002,2006,N/A
NISSAN,Almera,轎車,汽油,"Almera 1.5, visia PLUS",2002,2006,N/A
NISSAN,Almera,轎車,汽油,"Almera 1.8, acenta",2002,2006,N/A
NISSAN,Almera,轎車,汽油,"Almera 1.8, acenta PLUS",2002,2006,N/A
NISSAN,Almera Tino,廂型車,柴油,"Almera Tino dCi, acenta",2000,2006,N/A
NISSAN,Almera Tino,廂型車,柴油,"Almera Tino dCi, acenta PLUS",2000,2006,N/A
NISSAN,Almera Tino,廂型車,汽油,"Almera Tino Aut., acenta",2000,2006,N/A
NISSAN,Almera Tino,廂型車,汽油,"Almera Tino Aut., acenta PLUS",2000,2006,N/A
NISSAN,Almera Tino,廂型車,汽油,"Almera Tino, acenta",2000,2006,N/A
NISSAN,Almera Tino,廂型車,汽油,"Almera Tino, acenta PLUS",2000,2006,N/A
NISSAN,Almera Tino,廂型車,汽油,"Almera Tino, tekna",2000,2006,N/A
NISSAN,Almera Tino,廂型車,汽油,"Almera Tino, tekna PLUS",2000,2006,N/A
NISSAN,Ariya,休旅車,電力,Ariya 63 kWh,2022,至今,N/A
NISSAN,Ariya,休旅車,電力,"Ariya 63 kWh, Advance Pack",2022,至今,N/A
NISSAN,Ariya,休旅車,電力,"Ariya 63 kWh, Evolve Pack",2022,至今,N/A
