Brand,Model,Category,Fuel_Type,Typ,Start_Year,End_Year,HSN_TSN
PEUGEOT,1007,精選型,柴油,"1007 HDi 70, Filou",2005,2011,N/A
PEUGEOT,1007,精選型,柴油,"1007 HDi 70, Premium",2005,2011,N/A
PEUGEOT,1007,精選型,柴油,"1007 HDi 70, Tendance",2005,2011,N/A
PEUGEOT,1007,精選型,汽油,"1007 110 2-Tronic, Premium",2005,2011,N/A
PEUGEOT,1007,精選型,汽油,"1007 110 2-Tronic, Quicksilver",2005,2011,N/A
PEUGEOT,1007,精選型,汽油,"1007 110 2-Tronic, RC-Line",2005,2011,N/A
PEUGEOT,1007,精選型,汽油,"1007 110 2-Tronic, Roxy",2005,2011,N/A
PEUGEOT,1007,精選型,汽油,"1007 110 2-Tronic, Sport",2005,2011,N/A
PEUGEOT,1007,精選型,汽油,"1007 110 2-Tronic, Tendance",2005,2011,N/A
PEUGEOT,1007,精選型,汽油,"1007 110, Filou",2005,2011,N/A
PEUGEOT,1007,精選型,汽油,"1007 110, Premium",2005,2011,N/A
PEUGEOT,1007,精選型,汽油,"1007 110, Sport",2005,2011,N/A
PEUGEOT,1007,精選型,汽油,"1007 110, Tendance",2005,2011,N/A
PEUGEOT,1007,精選型,汽油,"1007 75 2-Tronic, Premium",2005,2011,N/A
PEUGEOT,1007,精選型,汽油,"1007 75 2-Tronic, Sport",2005,2011,N/A
PEUGEOT,1007,精選型,汽油,"1007 75, Filou",2005,2011,N/A
PEUGEOT,1007,精選型,汽油,"1007 75, Premium",2005,2011,N/A
PEUGEOT,1007,精選型,汽油,"1007 75, Sport",2005,2011,N/A
PEUGEOT,1007,精選型,汽油,"1007 75, Tendance",2005,2011,N/A
PEUGEOT,1007,精選型,汽油,"1007 90, Filou",2005,2011,N/A
PEUGEOT,1007,精選型,汽油,"1007 90, Premium",2005,2011,N/A
PEUGEOT,1007,精選型,汽油,"1007 90, Quicksilver",2005,2011,N/A
PEUGEOT,1007,精選型,汽油,"1007 90, Roxy",2005,2011,N/A
PEUGEOT,1007,精選型,汽油,"1007 90, Sport",2005,2011,N/A
PEUGEOT,1007,精選型,汽油,"1007 90, Tendance",2005,2011,N/A
PEUGEOT,107,高背掀背車,汽油,"107 (70) 68 2-Tronic, Active",2005,2014,N/A
PEUGEOT,107,高背掀背車,汽油,"107 (70) 68, Access",2005,2014,N/A
PEUGEOT,107,高背掀背車,汽油,"107 (70) 68, Active",2005,2014,N/A
PEUGEOT,107,高背掀背車,汽油,"107 (70) 68, envy",2005,2014,N/A
PEUGEOT,107,高背掀背車,汽油,"107 68, Style",2005,2014,N/A
PEUGEOT,107,高背掀背車,汽油,"107 70 2-Tronic, Filou",2005,2014,N/A
PEUGEOT,107,高背掀背車,汽油,"107 70, Black&Silver",2005,2014,N/A
PEUGEOT,107,高背掀背車,汽油,"107 70, Filou",2005,2014,N/A
PEUGEOT,107,高背掀背車,汽油,"107 70, Millesim 200",2005,2014,N/A
