Brand,Model,Category,Fuel_Type,Typ,Start_Year,End_Year,HSN_TSN
POLESTAR,Polestar 2,高背掀背車,電力,Polestar 2 Dual Motor 78kWh,2019,至今,N/A
POLESTAR,Polestar 2,高背掀背車,電力,"Polestar 2 Dual Motor 78kWh, BST Edition 230",2019,至今,N/A
POLESTAR,Polestar 2,高背掀背車,電力,"Polestar 2 Dual Motor 78kWh, BST Edition 270",2019,至今,N/A
POLESTAR,Polestar 2,高背掀背車,電力,"Polestar 2 Dual Motor 78kWh, Performance",2019,至今,N/A
POLESTAR,Polestar 2,高背掀背車,電力,Polestar 2 Dual Motor 82kWh,2019,至今,N/A
POLESTAR,Polestar 2,高背掀背車,電力,"Polestar 2 Dual Motor 82kWh, Performance",2019,至今,N/A
POLESTAR,Polestar 2,高背掀背車,電力,"Polestar 2 Dual Motor 82kWh, Performance Plus",2019,至今,N/A
POLESTAR,Polestar 2,高背掀背車,電力,"Polestar 2 Dual Motor 82kWh, Performance Prime seit 03/2025",2019,至今,N/A
POLESTAR,Polestar 2,高背掀背車,電力,"Polestar 2 Dual Motor 82kWh, Plus",2019,至今,N/A
POLESTAR,Polestar 2,高背掀背車,電力,"Polestar 2 Dual Motor 82kWh, Prime seit 03/2025",2019,至今,N/A
POLESTAR,Polestar 2,高背掀背車,電力,Polestar 2 Single Motor 64kWh,2019,至今,N/A
POLESTAR,Polestar 2,高背掀背車,電力,Polestar 2 Single Motor 69kWh,2019,至今,N/A
POLESTAR,Polestar 2,高背掀背車,電力,"Polestar 2 Single Motor 69kWh, Plus",2019,至今,N/A
POLESTAR,Polestar 2,高背掀背車,電力,Polestar 2 Single Motor 70kWh,2019,至今,N/A
POLESTAR,Polestar 2,高背掀背車,電力,"Polestar 2 Single Motor 70kWh, Plus",2019,至今,N/A
POLESTAR,Polestar 2,高背掀背車,電力,"Polestar 2 Single Motor 70kWh, Prime",2019,至今,N/A
POLESTAR,Polestar 2,高背掀背車,電力,Polestar 2 Single Motor 78kWh,2019,至今,N/A
POLESTAR,Polestar 2,高背掀背車,電力,Polestar 2 Single Motor 82kWh,2019,至今,N/A
POLESTAR,Polestar 2,高背掀背車,電力,"Polestar 2 Single Motor 82kWh, Plus",2019,至今,N/A
POLESTAR,Polestar 2,高背掀背車,電力,"Polestar 2 Single Motor 82kWh, Prime seit 03/2025",2019,至今,N/A
POLESTAR,Polestar 3,休旅車,電力,Polestar 3 Dual motor seit 05/2026,2022,至今,N/A
POLESTAR,Polestar 3,休旅車,電力,Polestar 3 Dual motor seit 09/2025,2022,至今,N/A
POLESTAR,Polestar 3,休旅車,電力,"Polestar 3 Dual motor, Plus seit 09/2025",2022,至今,N/A
POLESTAR,Polestar 3,休旅車,電力,"Polestar 3 Dual motor, Prime seit 05/2026",2022,至今,N/A
POLESTAR,Polestar 3,休旅車,電力,"Polestar 3 Dual motor, Prime seit 09/2025",2022,至今,N/A
POLESTAR,Polestar 3,休旅車,電力,Polestar 3 Long range Dual motor,2022,至今,N/A
POLESTAR,Polestar 3,休旅車,電力,"Polestar 3 Long range Dual motor 111kWh Performan., Plus Pilot",2022,至今,N/A
POLESTAR,Polestar 3,休旅車,電力,"Polestar 3 Long range Dual motor 111kWh, Plus Pilot",2022,至今,N/A
POLESTAR,Polestar 3,休旅車,電力,"Polestar 3 Long range Dual motor Performance, Pilot and Plus pack",2022,至今,N/A
POLESTAR,Polestar 3,休旅車,電力,"Polestar 3 Long range Dual motor Performance, pack",2022,至今,N/A
POLESTAR,Polestar 3,休旅車,電力,"Polestar 3 Long range Dual motor, Pilot and Plus pack",2022,至今,N/A
POLESTAR,Polestar 3,休旅車,電力,Polestar 3 Long range Single motor,2022,至今,N/A
POLESTAR,Polestar 3,休旅車,電力,"Polestar 3 Long range Single motor, Pilot and Plus pack",2022,至今,N/A
POLESTAR,Polestar 3,休旅車,電力,"Polestar 3 Performance, Prime seit 05/2026",2022,至今,N/A
POLESTAR,Polestar 3,休旅車,電力,"Polestar 3 Performance, Prime seit 09/2025",2022,至今,N/A
POLESTAR,Polestar 3,休旅車,電力,Polestar 3 Rear motor seit 05/2026,2022,至今,N/A
POLESTAR,Polestar 3,休旅車,電力,Polestar 3 Rear motor seit 09/2025,2022,至今,N/A
POLESTAR,Polestar 3,休旅車,電力,"Polestar 3 Rear motor, Plus seit 09/2025",2022,至今,N/A
POLESTAR,Polestar 3,休旅車,電力,"Polestar 3 Rear motor, Prime seit 05/2026",2022,至今,N/A
POLESTAR,Polestar 3,休旅車,電力,"Polestar 3 Rear motor, Prime seit 09/2025",2022,至今,N/A
POLESTAR,Polestar 4,轎車,電力,Polestar 4 SUV Dual Motor 100kWh ab 09/2026,2023,至今,N/A
POLESTAR,Polestar 4,轎車,電力,"Polestar 4 SUV Dual Motor 100kWh, Business ab 09/2026",2023,至今,N/A
POLESTAR,Polestar 4,轎車,電力,"Polestar 4 SUV Dual Motor 100kWh, Performance Prime ab 09/2026",2023,至今,N/A
POLESTAR,Polestar 4,轎車,電力,"Polestar 4 SUV Dual Motor 100kWh, Prime ab 09/2026",2023,至今,N/A
POLESTAR,Polestar 4,轎車,電力,Polestar 4 SUV Rear Motor 100kWh ab 09/2026,2023,至今,N/A
POLESTAR,Polestar 4,轎車,電力,"Polestar 4 SUV Rear Motor 100kWh, Business ab 09/2026",2023,至今,N/A
POLESTAR,Polestar 4,轎車,電力,"Polestar 4 SUV Rear Motor 100kWh, Prime ab 09/2026",2023,至今,N/A
POLESTAR,Polestar 5,轎車,電力,"Polestar 5 Dual motor, Launch edition seit 09/2025",2025,至今,N/A
POLESTAR,Polestar 5,轎車,電力,"Polestar 5 Performance, Launch edition seit 09/2025",2025,至今,N/A
POLESTAR,Polestar1,雙門跑車,插電式油電混合,Polestar 1,2019,2022,N/A
