Brand,Model,Category,Fuel_Type,Typ,Start_Year,End_Year,HSN_TSN
PORSCHE,718 Boxster Spyder,敞篷跑車,汽油,718 Boxster,2016,至今,N/A
PORSCHE,718 Boxster Spyder,敞篷跑車,汽油,718 Boxster 25 Jahre,2016,至今,N/A
PORSCHE,718 Boxster Spyder,敞篷跑車,汽油,718 Boxster 25 Jahre PDK,2016,至今,N/A
PORSCHE,718 Boxster Spyder,敞篷跑車,汽油,718 Boxster GTS,2016,至今,N/A
PORSCHE,718 Boxster Spyder,敞篷跑車,汽油,718 Boxster GTS 4.0,2016,至今,N/A
PORSCHE,718 Boxster Spyder,敞篷跑車,汽油,718 Boxster GTS 4.0 PDK,2016,至今,N/A
PORSCHE,718 Boxster Spyder,敞篷跑車,汽油,718 Boxster GTS PDK,2016,至今,N/A
PORSCHE,718 Boxster Spyder,敞篷跑車,汽油,718 Boxster PDK,2016,至今,N/A
PORSCHE,718 Boxster Spyder,敞篷跑車,汽油,718 Boxster S,2016,至今,N/A
PORSCHE,718 Boxster Spyder,敞篷跑車,汽油,718 Boxster S PDK,2016,至今,N/A
PORSCHE,718 Boxster Spyder,敞篷跑車,汽油,718 Boxster T,2016,至今,N/A
PORSCHE,718 Boxster Spyder,敞篷跑車,汽油,718 Boxster T PDK,2016,至今,N/A
PORSCHE,718 Boxster Spyder,敞篷跑車,汽油,"718 Boxster, Style Edition",2016,至今,N/A
PORSCHE,718 Boxster Spyder,敞篷跑車,汽油,"718 Boxster, Style Edition PDK",2016,至今,N/A
PORSCHE,718 Boxster Spyder,敞篷跑車,汽油,718 Spyder,2016,至今,N/A
PORSCHE,718 Boxster Spyder,敞篷跑車,汽油,718 Spyder PDK,2016,至今,N/A
PORSCHE,718 Boxster Spyder,敞篷跑車,汽油,718 Spyder RS,2016,至今,N/A
PORSCHE,718 Boxster Spyder,敞篷跑車,汽油,718 Spyder RS seit 01/2025,2016,至今,N/A
PORSCHE,911,雙門跑車,汽油,911 Carrera 4 Cabriolet PDK,2018,至今,N/A
PORSCHE,911,雙門跑車,汽油,911 Carrera 4 GTS Cabriolet PDK,2018,至今,N/A
PORSCHE,911,雙門跑車,汽油,911 Carrera 4 GTS Cabriolet PDK seit 01/2025,2018,至今,N/A
PORSCHE,911,雙門跑車,汽油,911 Carrera 4S Cabriolet,2018,至今,N/A
PORSCHE,911,雙門跑車,汽油,911 Carrera 4S Cabriolet PDK,2018,至今,N/A
PORSCHE,911,雙門跑車,汽油,911 Carrera 4S Cabriolet PDK seit 07/2025,2018,至今,N/A
PORSCHE,911,雙門跑車,汽油,911 Carrera Cabrio 4 GTS,2018,至今,N/A
PORSCHE,911,雙門跑車,汽油,911 Carrera Cabrio 4 GTS PDK,2018,至今,N/A
PORSCHE,911,雙門跑車,汽油,911 Carrera Cabrio GTS,2018,至今,N/A
PORSCHE,911,雙門跑車,汽油,911 Carrera Cabrio GTS PDK,2018,至今,N/A
PORSCHE,911,雙門跑車,汽油,911 Carrera Cabriolet PDK,2018,至今,N/A
PORSCHE,911,雙門跑車,汽油,911 Carrera Cabriolet PDK seit 01/2025,2018,至今,N/A
PORSCHE,911,雙門跑車,汽油,911 Carrera GTS Cabriolet PDK,2018,至今,N/A
PORSCHE,911,雙門跑車,汽油,911 Carrera GTS Cabriolet PDK seit 01/2025,2018,至今,N/A
PORSCHE,911,雙門跑車,汽油,911 Carrera S Cabriolet,2018,至今,N/A
PORSCHE,911,雙門跑車,汽油,911 Carrera S Cabriolet PDK,2018,至今,N/A
PORSCHE,911,雙門跑車,汽油,911 Carrera S Cabriolet PDK seit 01/2025,2018,至今,N/A
PORSCHE,911,雙門跑車,汽油,911 Carrera T Cabriolet seit 01/2025,2018,至今,N/A
PORSCHE,911,雙門跑車,汽油,911 GT3 S/C Cabriolet seit 04/2026,2018,至今,N/A
PORSCHE,911,雙門跑車,汽油,911 Spirit 70 Cabriolet PDK seit 04/2025,2018,至今,N/A
PORSCHE,911 Gt,雙門跑車,汽油,911 GT3,2020,至今,N/A
PORSCHE,911 Gt,雙門跑車,汽油,911 GT3 PDK,2020,至今,N/A
PORSCHE,911 Gt,雙門跑車,汽油,911 GT3 PDK mit Touring-Paket,2020,至今,N/A
PORSCHE,911 Gt,雙門跑車,汽油,911 GT3 PDK mit Touring-Paket seit 01/2025,2020,至今,N/A
PORSCHE,911 Gt,雙門跑車,汽油,911 GT3 PDK seit 01/2025,2020,至今,N/A
PORSCHE,911 Gt,雙門跑車,汽油,911 GT3 RS PDK,2020,至今,N/A
PORSCHE,911 Gt,雙門跑車,汽油,911 GT3 mit Touring-Paket,2020,至今,N/A
PORSCHE,911 Gt,雙門跑車,汽油,911 GT3 mit Touring-Paket seit 01/2025,2020,至今,N/A
PORSCHE,911 Gt,雙門跑車,汽油,911 GT3 seit 01/2025,2020,至今,N/A
PORSCHE,911 Turbo,雙門跑車,汽油,911 Turbo S Cabriolet seit 09/2025,2020,至今,N/A
PORSCHE,911 Turbo,雙門跑車,汽油,911Turbo Cabriolet,2020,至今,N/A
PORSCHE,911 Turbo,雙門跑車,汽油,911Turbo S Cabriolet,2020,至今,N/A
PORSCHE,Carrera Gt,精選型,汽油,Carrera GT,2003,2007,N/A
PORSCHE,Cayenne,休旅車,插電式油電混合,Cayenne E-Hybrid Coupe Tiptronic S,2023,至今,N/A
PORSCHE,Cayenne,休旅車,插電式油電混合,Cayenne E-Hybrid Coupe Tiptronic S seit 01/2025,2023,至今,N/A
PORSCHE,Cayenne,休旅車,插電式油電混合,"Cayenne E-Hybrid Coupe Tiptronic S, Black Edition seit 07/2025",2023,至今,N/A
PORSCHE,Cayenne,休旅車,汽油,Cayenne Coupe Tiptronic S,2023,至今,N/A
PORSCHE,Cayenne,休旅車,汽油,Cayenne Coupe Tiptronic S seit 01/2025,2023,至今,N/A
PORSCHE,Cayenne,休旅車,汽油,"Cayenne Coupe Tiptronic S, Black Edition seit 07/2025",2023,至今,N/A
