Brand,Model,Category,Fuel_Type,Typ,Start_Year,End_Year,HSN_TSN
RENAULT,Alaskan,皮卡,柴油,"Alaskan Blue dCi 190 Aut., EXPERIENCE",2017,2021,N/A
RENAULT,Alaskan,皮卡,柴油,"Alaskan Blue dCi 190 Aut., INTENS",2017,2021,N/A
RENAULT,Alaskan,皮卡,柴油,"Alaskan Blue dCi 190, EXPERIENCE",2017,2021,N/A
RENAULT,Alaskan,皮卡,柴油,"Alaskan Blue dCi 190, INTENS",2017,2021,N/A
RENAULT,Alaskan,皮卡,柴油,"Alaskan Double Cab 4x4 dCi 160, LIFE",2017,2021,N/A
RENAULT,Alaskan,皮卡,柴油,"Alaskan Double Cab 4x4 dCi 190 Aut., EXPERIENCE",2017,2021,N/A
RENAULT,Alaskan,皮卡,柴油,"Alaskan Double Cab 4x4 dCi 190 Aut., INTENS",2017,2021,N/A
RENAULT,Alaskan,皮卡,柴油,"Alaskan Double Cab 4x4 dCi 190, EXPERIENCE",2017,2021,N/A
RENAULT,Alaskan,皮卡,柴油,"Alaskan Double Cab 4x4 dCi 190, INTENS",2017,2021,N/A
RENAULT,Austral,休旅車,汽油,"Austral Mild Hybrid 140 Automatik, Equilibre",2022,至今,N/A
RENAULT,Austral,休旅車,汽油,"Austral Mild Hybrid 140 Automatik, Evolution",2022,至今,N/A
RENAULT,Austral,休旅車,汽油,"Austral Mild Hybrid 140, Equilibre",2022,至今,N/A
RENAULT,Austral,休旅車,汽油,"Austral Mild Hybrid 140, Evolution",2022,至今,N/A
RENAULT,Austral,休旅車,汽油,"Austral Mild Hybrid 150 Automatik, Esprit Alpine seit 09/2025",2022,至今,N/A
RENAULT,Austral,休旅車,汽油,"Austral Mild Hybrid 150 Automatik, Evolution seit 09/2025",2022,至今,N/A
RENAULT,Austral,休旅車,汽油,"Austral Mild Hybrid 150 Automatik, Techno seit 09/2025",2022,至今,N/A
RENAULT,Austral,休旅車,汽油,"Austral Mild Hybrid 160 Automatik, Esprit Alpine",2022,至今,N/A
RENAULT,Austral,休旅車,汽油,"Austral Mild Hybrid 160 Automatik, Evolution",2022,至今,N/A
RENAULT,Austral,休旅車,汽油,"Austral Mild Hybrid 160 Automatik, Iconic",2022,至今,N/A
RENAULT,Austral,休旅車,汽油,"Austral Mild Hybrid 160 Automatik, Iconic Esprit Alpine",2022,至今,N/A
RENAULT,Austral,休旅車,汽油,"Austral Mild Hybrid 160 Automatik, Techno",2022,至今,N/A
RENAULT,Austral,休旅車,汽油,"Austral Mild Hybrid 160 Automatik, Techno Esprit Alpine",2022,至今,N/A
RENAULT,Austral,休旅車,油電混合,"Austral E-Tech Full Hybrid 200, Esprit Alpine seit 04/2025",2022,至今,N/A
RENAULT,Austral,休旅車,油電混合,"Austral E-Tech Full Hybrid 200, Evolution",2022,至今,N/A
RENAULT,Austral,休旅車,油電混合,"Austral E-Tech Full Hybrid 200, Evolution seit 04/2025",2022,至今,N/A
RENAULT,Captur,休旅車,插電式油電混合,"Captur E-TECH PLUG-in 160, BUSINESS EDITION",2019,至今,N/A
RENAULT,Captur,休旅車,插電式油電混合,"Captur E-TECH PLUG-in 160, EDITION ONE",2019,至今,N/A
RENAULT,Captur,休旅車,插電式油電混合,"Captur E-TECH PLUG-in 160, INITIALE PARIS",2019,至今,N/A
RENAULT,Captur,休旅車,柴油,"Captur BLUE dCi 115 EDC, BUSINESS EDITION",2019,至今,N/A
RENAULT,Captur,休旅車,柴油,"Captur BLUE dCi 115, BUSINESS EDITION",2019,至今,N/A
RENAULT,Captur,休旅車,柴油,"Captur BLUE dCi 115, INTENS",2019,至今,N/A
RENAULT,Captur,休旅車,汽油,"Captur Mild Hybrid 140 EDC, ESPRIT ALPINE seit 09/2025",2019,至今,N/A
RENAULT,Captur,休旅車,汽油,"Captur Mild Hybrid 140 EDC, EVOLUTION seit 09/2025",2019,至今,N/A
RENAULT,Captur,休旅車,汽油,"Captur Mild Hybrid 140 EDC, TECHNO seit 09/2025",2019,至今,N/A
RENAULT,Captur,休旅車,汽油,"Captur TCe 100, BUSINESS EDITION",2019,至今,N/A
RENAULT,Captur,休旅車,汽油,"Captur TCe 100, EXPERIENCE",2019,至今,N/A
RENAULT,Captur,休旅車,汽油,"Captur TCe 100, INTENS",2019,至今,N/A
RENAULT,Captur,休旅車,汽油,"Captur TCe 100, LIFE",2019,至今,N/A
RENAULT,Captur,休旅車,汽油,"Captur TCe 115, EVOLUTION seit 09/2025",2019,至今,N/A
RENAULT,Captur,休旅車,汽油,"Captur TCe 115, TECHNO seit 09/2025",2019,至今,N/A
RENAULT,Captur,休旅車,汽油,"Captur TCe 130 EDC GPF, BUSINESS EDITION",2019,至今,N/A
RENAULT,Captur,休旅車,汽油,"Captur TCe 130 EDC GPF, EDITION ONE",2019,至今,N/A
RENAULT,Captur,休旅車,汽油,"Captur TCe 130 EDC GPF, EXPERIENCE",2019,至今,N/A
RENAULT,Captur,休旅車,汽油,"Captur TCe 130 EDC GPF, INTENS",2019,至今,N/A
