Brand,Model,Category,Fuel_Type,Typ,Start_Year,End_Year,HSN_TSN
ROLLS-ROYCE,Cullinan,休旅車,汽油,Cullinan,2018,至今,N/A
ROLLS-ROYCE,Cullinan,休旅車,汽油,Cullinan Black Badge,2018,至今,N/A
ROLLS-ROYCE,Cullinan,休旅車,汽油,Cullinan Series II Black Badge seit 08/2024,2018,至今,N/A
ROLLS-ROYCE,Cullinan,休旅車,汽油,Cullinan Series II seit 08/2024,2018,至今,N/A
ROLLS-ROYCE,Dawn,敞篷車,汽油,Dawn,2016,2022,N/A
ROLLS-ROYCE,Dawn,敞篷車,汽油,Dawn Black Badge,2016,2022,N/A
ROLLS-ROYCE,Drophead Coupe,敞篷車,汽油,Phantom Drophead Coupe,2007,2016,N/A
ROLLS-ROYCE,Ghost,轎車,汽油,Ghost EWB seit 01/2021,2014,至今,N/A
ROLLS-ROYCE,Ghost,轎車,汽油,Ghost Series II,2014,至今,N/A
ROLLS-ROYCE,Ghost,轎車,汽油,Ghost Series II EWB,2014,至今,N/A
ROLLS-ROYCE,Phantom,轎車,汽油,Phantom,2018,至今,N/A
ROLLS-ROYCE,Phantom,轎車,汽油,Phantom EWB seit 08/2019,2018,至今,N/A
ROLLS-ROYCE,Phantom,轎車,汽油,Phantom Extended Wheelbase,2018,至今,N/A
ROLLS-ROYCE,Phantom,轎車,汽油,Phantom seit 08/2019,2018,至今,N/A
ROLLS-ROYCE,Phantom Coupe,雙門跑車,汽油,Phantom Drophead Coupe,2007,2016,N/A
ROLLS-ROYCE,Wraith,雙門跑車,汽油,Wraith,2013,2022,N/A
ROLLS-ROYCE,Wraith,雙門跑車,汽油,Wraith Black Badge,2013,2022,N/A
