Brand,Model,Category,Fuel_Type,Typ,Start_Year,End_Year,HSN_TSN
ROVER,75,轎車,柴油,"75 Tourer 2.0 CDTi, Celeste L",1998,2005,N/A
ROVER,75,轎車,柴油,"75 Tourer 2.0 CDTi, Celeste S",1998,2005,N/A
ROVER,75,轎車,柴油,"75 Tourer 2.0 CDTi, Charme L",1998,2005,N/A
ROVER,75,轎車,汽油,"75 Tourer 1.8 T, Celeste L",1998,2005,N/A
ROVER,75,轎車,汽油,"75 Tourer 1.8 T, Celeste S",1998,2005,N/A
ROVER,75,轎車,汽油,"75 Tourer 1.8 T, Charme L",1998,2005,N/A
ROVER,75,轎車,汽油,"75 Tourer 1.8 T, Charme S",1998,2005,N/A
ROVER,75,轎車,汽油,"75 Tourer 1.8 T, Classic",1998,2005,N/A
ROVER,75,轎車,汽油,"75 Tourer 1.8, Charme L",1998,2005,N/A
ROVER,75,轎車,汽油,"75 Tourer 1.8, Charme S",1998,2005,N/A
ROVER,75,轎車,汽油,"75 Tourer 1.8, Classic",1998,2005,N/A
ROVER,75,轎車,汽油,"75 Tourer 2.5 V6, Celeste L",1998,2005,N/A
ROVER,75,轎車,汽油,"75 Tourer 2.5 V6, Celeste S",1998,2005,N/A
ROVER,75,轎車,汽油,"75 Tourer 2.5 V6, Charme L",1998,2005,N/A
ROVER,75,轎車,汽油,"75 Tourer 2.5 V6, Charme S",1998,2005,N/A
ROVER,75,轎車,汽油,"75 Tourer 4.6 V8, Celeste L",1998,2005,N/A
ROVER,Rover 25,轎車,柴油,"25 2.0 TD, Celeste",1999,2005,N/A
ROVER,Rover 25,轎車,柴油,"25 2.0 TD, Charme",1999,2005,N/A
ROVER,Rover 25,轎車,汽油,"25 1.4, Basic",1999,2005,N/A
ROVER,Rover 25,轎車,汽油,"25 1.4, Celeste",1999,2005,N/A
ROVER,Rover 25,轎車,汽油,"25 1.4, Charme",1999,2005,N/A
ROVER,Rover 25,轎車,汽油,"25 1.4, Classic",1999,2005,N/A
ROVER,Rover 25,轎車,汽油,"25 1.4, Special Edition PGA",1999,2005,N/A
ROVER,Rover 25,轎車,汽油,"25 1.6, Celeste",1999,2005,N/A
ROVER,Rover 25,轎車,汽油,"25 1.6, Charme",1999,2005,N/A
ROVER,Rover 45,轎車,柴油,"45 2.0 TD, Celeste",1999,2005,N/A
ROVER,Rover 45,轎車,柴油,"45 2.0 TD, Charme",1999,2005,N/A
ROVER,Rover 45,轎車,柴油,"45 2.0 TD, Classic",1999,2005,N/A
ROVER,Rover 45,轎車,汽油,"45 1.4, Charme",1999,2005,N/A
ROVER,Rover 45,轎車,汽油,"45 1.4, Classic",1999,2005,N/A
ROVER,Rover 45,轎車,汽油,"45 1.6, Celeste",1999,2005,N/A
ROVER,Rover 45,轎車,汽油,"45 1.6, Charme",1999,2005,N/A
ROVER,Rover 45,轎車,汽油,"45 1.6, Classic",1999,2005,N/A
ROVER,Rover 45,轎車,汽油,"45 1.6, Special Edition PGA",1999,2005,N/A
ROVER,Rover 45,轎車,汽油,"45 1.8, Celeste",1999,2005,N/A
ROVER,Rover 45,轎車,汽油,"45 1.8, Charme",1999,2005,N/A
ROVER,Rover 45,轎車,汽油,"45 1.8, Classic",1999,2005,N/A
ROVER,Rover 45,轎車,汽油,"45 2.0 V6, Celeste",1999,2005,N/A
ROVER,Streetwise,轎車,柴油,"Streetwise Turbo Diesel, R1",2003,2005,N/A
ROVER,Streetwise,轎車,柴油,"Streetwise Turbo Diesel, R2",2003,2005,N/A
ROVER,Streetwise,轎車,汽油,"Streetwise, R1",2003,2005,N/A
ROVER,Streetwise,轎車,汽油,"Streetwise, R2",2003,2005,N/A
ROVER,Streetwise,轎車,汽油,"Streetwise, Special Edition PGA",2003,2005,N/A
