Brand,Model,Category,Fuel_Type,Typ,Start_Year,End_Year,HSN_TSN
SAAB,9 4X,精選型,汽油,"9-4X 2.8 Turbo V6 XWD, Aero",2011,2012,N/A
SAAB,9 4X,精選型,汽油,"9-4X 3.0i V6 XWD, Linear",2011,2012,N/A
SAAB,9 4X,精選型,汽油,"9-4X 3.0i V6 XWD, Vector",2011,2012,N/A
SAAB,9 5,轎車,柴油,"9-5 2.0TTiD SportCombi, Aero",2010,2012,N/A
SAAB,9 5,轎車,柴油,"9-5 2.0TTiD SportCombi, Linear",2010,2012,N/A
SAAB,9 5,轎車,柴油,"9-5 2.0TTiD SportCombi, Vector",2010,2012,N/A
SAAB,9 5,轎車,汽油,"9-5 1.6T SportCombi, Linear",2010,2012,N/A
SAAB,9 5,轎車,汽油,"9-5 1.6T SportCombi, Vector",2010,2012,N/A
SAAB,9 5,轎車,汽油,"9-5 2.0T SportCombi Aut., Aero",2010,2012,N/A
SAAB,9 5,轎車,汽油,"9-5 2.0T SportCombi Aut., Linear",2010,2012,N/A
SAAB,9 5,轎車,汽油,"9-5 2.0T SportCombi Aut., Vector",2010,2012,N/A
SAAB,9 5,轎車,汽油,"9-5 2.0T SportCombi, Aero",2010,2012,N/A
SAAB,9 5,轎車,汽油,"9-5 2.0T SportCombi, Linear",2010,2012,N/A
SAAB,9 5,轎車,汽油,"9-5 2.0T SportCombi, Vector",2010,2012,N/A
SAAB,9 5,轎車,汽油,"9-5 2.0T XWD SportCombi Aut., Aero",2010,2012,N/A
SAAB,9 5,轎車,汽油,"9-5 2.0T XWD SportCombi Aut., Linear",2010,2012,N/A
SAAB,9 5,轎車,汽油,"9-5 2.0T XWD SportCombi Aut., Vector",2010,2012,N/A
SAAB,9 5,轎車,汽油,"9-5 2.0T XWD SportCombi, Aero",2010,2012,N/A
SAAB,9 5,轎車,汽油,"9-5 2.0T XWD SportCombi, Linear",2010,2012,N/A
SAAB,9 5,轎車,汽油,"9-5 2.0T XWD SportCombi, Vector",2010,2012,N/A
SAAB,9 5,轎車,汽油,"9-5 2.8T XWD SportCombi Aut., Aero",2010,2012,N/A
SAAB,9 5,轎車,汽油/酒精混合,"9-5 2.0T BioPower SportCombi, Aero",2010,2012,N/A
SAAB,9 5,轎車,汽油/酒精混合,"9-5 2.0T BioPower SportCombi, Linear",2010,2012,N/A
SAAB,9 5,轎車,汽油/酒精混合,"9-5 2.0T BioPower SportCombi, Vector",2010,2012,N/A
