Brand,Model,Category,Fuel_Type,Typ,Start_Year,End_Year,HSN_TSN
SKODA,Citigo,高背掀背車,電力,"CITIGOe iV, Ambition",2019,2020,N/A
SKODA,Citigo,高背掀背車,電力,"CITIGOe iV, Best of",2019,2020,N/A
SKODA,Citigo,高背掀背車,電力,"CITIGOe iV, Style",2019,2020,N/A
SKODA,Elroq,轎車,電力,"Elroq 50, Tour",2024,至今,N/A
SKODA,Elroq,轎車,電力,Elroq 60,2024,至今,N/A
SKODA,Elroq,轎車,電力,"Elroq 60, Essence seit 04/2026",2024,至今,N/A
SKODA,Elroq,轎車,電力,"Elroq 60, Selection seit 04/2026",2024,至今,N/A
SKODA,Elroq,轎車,電力,"Elroq 60, Sportline",2024,至今,N/A
SKODA,Elroq,轎車,電力,"Elroq 60, Sportline seit 04/2026",2024,至今,N/A
SKODA,Elroq,轎車,電力,Elroq 85,2024,至今,N/A
SKODA,Elroq,轎車,電力,"Elroq 85, First Edition",2024,至今,N/A
SKODA,Elroq,轎車,電力,"Elroq 85, Selection seit 04/2026",2024,至今,N/A
SKODA,Elroq,轎車,電力,"Elroq 85, Sportline",2024,至今,N/A
SKODA,Elroq,轎車,電力,"Elroq 85, Sportline seit 04/2026",2024,至今,N/A
SKODA,Elroq,轎車,電力,Elroq 85x,2024,至今,N/A
SKODA,Elroq,轎車,電力,"Elroq 85x, Selection seit 04/2026",2024,至今,N/A
SKODA,Elroq,轎車,電力,"Elroq 85x, Sportline",2024,至今,N/A
SKODA,Elroq,轎車,電力,"Elroq 85x, Sportline seit 04/2026",2024,至今,N/A
SKODA,Elroq,轎車,電力,"Elroq, RS",2024,至今,N/A
SKODA,Elroq,轎車,電力,"Elroq, RS seit 04/2026",2024,至今,N/A
SKODA,Enyaq,休旅車,電力,Enyaq  85x,2020,至今,N/A
SKODA,Enyaq,休旅車,電力,Enyaq 60,2020,至今,N/A
SKODA,Enyaq,休旅車,電力,"Enyaq 60, Essence seit 04/2026",2020,至今,N/A
SKODA,Enyaq,休旅車,電力,"Enyaq 60, Selection seit 04/2026",2020,至今,N/A
SKODA,Enyaq,休旅車,電力,"Enyaq 60, Sportline",2020,至今,N/A
SKODA,Enyaq,休旅車,電力,"Enyaq 60, Sportline seit 04/2026",2020,至今,N/A
SKODA,Enyaq,休旅車,電力,Enyaq 85,2020,至今,N/A
SKODA,Enyaq,休旅車,電力,"Enyaq 85, Selection seit 04/2026",2020,至今,N/A
