Brand,Model,Category,Fuel_Type,Typ,Start_Year,End_Year,HSN_TSN
SMART,Forfour,高背掀背車,汽油,smart Brabus forfour twinamic,2014,2021,N/A
SMART,Forfour,高背掀背車,汽油,"smart Brabus forfour twinamic, Xclusive",2014,2021,N/A
SMART,Forfour,高背掀背車,汽油,smart forfour,2014,2021,N/A
SMART,Forfour,高背掀背車,汽油,smart forfour twinamic,2014,2021,N/A
SMART,Forfour,高背掀背車,汽油,"smart forfour twinamic, Brabus Style",2014,2021,N/A
SMART,Forfour,高背掀背車,汽油,"smart forfour twinamic, edition 1",2014,2021,N/A
SMART,Forfour,高背掀背車,汽油,"smart forfour twinamic, passion",2014,2021,N/A
SMART,Forfour,高背掀背車,汽油,"smart forfour twinamic, perfect",2014,2021,N/A
SMART,Forfour,高背掀背車,汽油,"smart forfour twinamic, prime",2014,2021,N/A
SMART,Forfour,高背掀背車,汽油,"smart forfour twinamic, proxy",2014,2021,N/A
SMART,Forfour,高背掀背車,汽油,"smart forfour, Brabus Style",2014,2021,N/A
SMART,Forfour,高背掀背車,汽油,"smart forfour, edition 1",2014,2021,N/A
SMART,Forfour,高背掀背車,汽油,"smart forfour, passion",2014,2021,N/A
SMART,Forfour,高背掀背車,汽油,"smart forfour, perfect",2014,2021,N/A
SMART,Forfour,高背掀背車,汽油,"smart forfour, prime",2014,2021,N/A
SMART,Forfour,高背掀背車,汽油,"smart forfour, proxy",2014,2021,N/A
SMART,Forfour,高背掀背車,電力,smart forfour EQ,2014,2021,N/A
SMART,Forfour,高背掀背車,電力,"smart forfour EQ, Brabus Style",2014,2021,N/A
SMART,Fortwo,高背掀背車,汽油,smart Brabus fortwo cabrio twinamic,2014,2024,N/A
SMART,Fortwo,高背掀背車,汽油,"smart Brabus fortwo cabrio twinamic, BRABUS edition asphaltgold",2014,2024,N/A
SMART,Fortwo,高背掀背車,汽油,"smart Brabus fortwo cabrio twinamic, Xclusive",2014,2024,N/A
SMART,Fortwo,高背掀背車,汽油,"smart Brabus fortwo cabrio twinamic, Xclusive BRABUS edition asphaltgold",2014,2024,N/A
SMART,Fortwo,高背掀背車,汽油,smart fortwo cabrio,2014,2024,N/A
SMART,Fortwo,高背掀背車,汽油,smart fortwo cabrio twinamic,2014,2024,N/A
SMART,Fortwo,高背掀背車,汽油,"smart fortwo cabrio twinamic, BRABUS edition asphaltgold",2014,2024,N/A
SMART,Fortwo,高背掀背車,汽油,"smart fortwo cabrio twinamic, Brabus Style",2014,2024,N/A
SMART,Fortwo,高背掀背車,汽油,"smart fortwo cabrio twinamic, passion",2014,2024,N/A
SMART,Fortwo,高背掀背車,汽油,"smart fortwo cabrio twinamic, perfect",2014,2024,N/A
SMART,Fortwo,高背掀背車,汽油,"smart fortwo cabrio twinamic, prime",2014,2024,N/A
SMART,Fortwo,高背掀背車,汽油,"smart fortwo cabrio twinamic, proxy",2014,2024,N/A
SMART,Fortwo,高背掀背車,汽油,"smart fortwo cabrio, BRABUS edition asphaltgold",2014,2024,N/A
SMART,Fortwo,高背掀背車,汽油,"smart fortwo cabrio, Brabus Style",2014,2024,N/A
SMART,Fortwo,高背掀背車,汽油,"smart fortwo cabrio, passion",2014,2024,N/A
SMART,Fortwo,高背掀背車,汽油,"smart fortwo cabrio, perfect",2014,2024,N/A
SMART,Fortwo,高背掀背車,汽油,"smart fortwo cabrio, prime",2014,2024,N/A
SMART,Fortwo,高背掀背車,汽油,"smart fortwo cabrio, proxy",2014,2024,N/A
SMART,Fortwo,高背掀背車,電力,smart fortwo cabrio EQ,2014,2024,N/A
SMART,Fortwo,高背掀背車,電力,"smart fortwo cabrio EQ, Brabus Style",2014,2024,N/A
SMART,Hashtag Five,旅行車,電力,"smart #5, Brabus seit 04/2025",2025,至今,N/A
SMART,Hashtag Five,旅行車,電力,"smart #5, Premium AWD ab 08/2026",2025,至今,N/A
SMART,Hashtag Five,旅行車,電力,"smart #5, Premium seit 04/2025",2025,至今,N/A
SMART,Hashtag Five,旅行車,電力,"smart #5, Pro",2025,至今,N/A
