Brand,Model,Category,Fuel_Type,Typ,Start_Year,End_Year,HSN_TSN
SSANGYONG,Actyon,精選型,柴油,Actyon Xdi 2WD,2006,2018,N/A
SSANGYONG,Actyon,精選型,柴油,Actyon Xdi 2WD Automatik,2006,2018,N/A
SSANGYONG,Actyon,精選型,柴油,Actyon Xdi 4WD,2006,2018,N/A
SSANGYONG,Actyon,精選型,柴油,Actyon Xdi 4WD Automatik,2006,2018,N/A
SSANGYONG,Actyon,精選型,柴油,Actyon Xdi s 4WD,2006,2018,N/A
SSANGYONG,Actyon,精選型,柴油,Actyon Xdi s 4WD Automatik,2006,2018,N/A
SSANGYONG,Actyon,精選型,汽油,Actyon 230 4x2,2006,2018,N/A
SSANGYONG,Actyon,精選型,汽油,Actyon 230 4x2 Automatik,2006,2018,N/A
SSANGYONG,Korando,越野車,柴油,"Korando 2.0 Eco e-XDi DPF 2WD, Crystal",2011,2019,N/A
SSANGYONG,Korando,越野車,柴油,"Korando 2.0 Eco e-XDi DPF 2WD, Quartz",2011,2019,N/A
SSANGYONG,Korando,越野車,汽油,"Korando 2.0 2WD Automatik, Quartz",2011,2019,N/A
SSANGYONG,Korando,越野車,汽油,"Korando 2.0 2WD Automatik, Sapphire",2011,2019,N/A
SSANGYONG,Korando,越野車,汽油,"Korando 2.0 2WD, Crystal",2011,2019,N/A
SSANGYONG,Korando,越野車,汽油,"Korando 2.0 2WD, Quartz",2011,2019,N/A
SSANGYONG,Korando,越野車,汽油,"Korando 2.0 2WD, Sapphire",2011,2019,N/A
SSANGYONG,Korando,越野車,汽油,"Korando 2.0 4WD Automatik, Quartz",2011,2019,N/A
SSANGYONG,Korando,越野車,汽油,"Korando 2.0 4WD Automatik, Sapphire",2011,2019,N/A
SSANGYONG,Korando,越野車,汽油,"Korando 2.0 4WD, Quartz",2011,2019,N/A
SSANGYONG,Korando,越野車,汽油,"Korando 2.0 4WD, Sapphire",2011,2019,N/A
SSANGYONG,Korando,越野車,汽油,"Korando 2.0 e-XGi200 2WD Automatik, Quartz",2011,2019,N/A
SSANGYONG,Korando,越野車,汽油,"Korando 2.0 e-XGi200 2WD Automatik, Sapphire",2011,2019,N/A
SSANGYONG,Korando,越野車,汽油,"Korando 2.0 e-XGi200 2WD, Crystal",2011,2019,N/A
SSANGYONG,Korando,越野車,汽油,"Korando 2.0 e-XGi200 2WD, Quartz",2011,2019,N/A
SSANGYONG,Korando,越野車,汽油,"Korando 2.0 e-XGi200 2WD, Sapphire",2011,2019,N/A
SSANGYONG,Korando,越野車,汽油,"Korando 2.0 e-XGi200 4WD Automatik, Quartz",2011,2019,N/A
SSANGYONG,Korando,越野車,汽油,"Korando 2.0 e-XGi200 4WD Automatik, Sapphire",2011,2019,N/A
SSANGYONG,Korando,越野車,汽油,"Korando 2.0 e-XGi200 4WD, Quartz",2011,2019,N/A
SSANGYONG,Korando,越野車,汽油,"Korando 2.0 e-XGi200 4WD, Sapphire",2011,2019,N/A
