Brand,Model,Category,Fuel_Type,Typ,Start_Year,End_Year,HSN_TSN
SUBARU,Brz,雙門跑車,汽油,"BRZ 2.0i Automatik, Active",2012,2021,N/A
SUBARU,Brz,雙門跑車,汽油,"BRZ 2.0i Automatik, Final Edition",2012,2021,N/A
SUBARU,Brz,雙門跑車,汽油,"BRZ 2.0i Automatik, Sport",2012,2021,N/A
SUBARU,Brz,雙門跑車,汽油,"BRZ 2.0i Automatik, Sport+",2012,2021,N/A
SUBARU,Brz,雙門跑車,汽油,"BRZ 2.0i Automatik, TSE",2012,2021,N/A
SUBARU,Brz,雙門跑車,汽油,"BRZ 2.0i, Active",2012,2021,N/A
SUBARU,Brz,雙門跑車,汽油,"BRZ 2.0i, Final Edition",2012,2021,N/A
SUBARU,Brz,雙門跑車,汽油,"BRZ 2.0i, Sport",2012,2021,N/A
SUBARU,Brz,雙門跑車,汽油,"BRZ 2.0i, Sport+",2012,2021,N/A
SUBARU,Brz,雙門跑車,汽油,"BRZ 2.0i, TSE",2012,2021,N/A
SUBARU,Crosstrek,轎車,油電混合,"Crosstrek 2.0ie Lineartronic, Active seit 10/2023",2023,至今,N/A
SUBARU,Crosstrek,轎車,油電混合,"Crosstrek 2.0ie Lineartronic, Comfort Plus seit 07/2025",2023,至今,N/A
SUBARU,Crosstrek,轎車,油電混合,"Crosstrek 2.0ie Lineartronic, Comfort seit 10/2023",2023,至今,N/A
SUBARU,Crosstrek,轎車,油電混合,"Crosstrek 2.0ie Lineartronic, Platinum seit 10/2023",2023,至今,N/A
SUBARU,Crosstrek,轎車,油電混合,"Crosstrek 2.0ie Lineartronic, Trend seit 10/2023",2023,至今,N/A
SUBARU,Forester,旅行車,油電混合,"Forester 2.0ie Lineartronic, Active seit 10/2024",2025,至今,N/A
SUBARU,Forester,旅行車,油電混合,"Forester 2.0ie Lineartronic, Exclusive Cross seit 07/2025",2025,至今,N/A
SUBARU,Forester,旅行車,油電混合,"Forester 2.0ie Lineartronic, Exclusive seit 10/2024",2025,至今,N/A
SUBARU,Forester,旅行車,油電混合,"Forester 2.0ie Lineartronic, Platinum seit 10/2024",2025,至今,N/A
SUBARU,Forester,旅行車,油電混合,"Forester 2.0ie Lineartronic, Trend seit 10/2024",2025,至今,N/A
SUBARU,Impreza Wrx Sti,轎車,汽油,"WRX STI, Active",2014,2018,N/A
SUBARU,Impreza Wrx Sti,轎車,汽油,"WRX STI, Final Edition",2014,2018,N/A
SUBARU,Impreza Wrx Sti,轎車,汽油,"WRX STI, Sport",2014,2018,N/A
SUBARU,Justy,轎車,汽油,"Justy 1.0, Active",2007,2010,N/A
SUBARU,Justy,轎車,汽油,"Justy 1.0, Trend",2007,2010,N/A
SUBARU,Legacy,轎車,柴油,"Legacy Kombi 2.0D, Active",2009,2015,N/A
