Brand,Model,Category,Fuel_Type,Typ,Start_Year,End_Year,HSN_TSN
SUZUKI,Across,休旅車,插電式油電混合,Across PLUG-IN HYBRID seit 01/2021,2020,至今,N/A
SUZUKI,Alto,轎車,汽油,"Alto 1.0 Automatik, City",2009,2014,N/A
SUZUKI,Alto,轎車,汽油,"Alto 1.0 Automatik, Club",2009,2014,N/A
SUZUKI,Alto,轎車,汽油,"Alto 1.0 Automatik, Comfort",2009,2014,N/A
SUZUKI,Alto,轎車,汽油,"Alto 1.0 Automatik, Comfort City",2009,2014,N/A
SUZUKI,Alto,轎車,汽油,"Alto 1.0, Basic",2009,2014,N/A
SUZUKI,Alto,轎車,汽油,"Alto 1.0, Basic City",2009,2014,N/A
SUZUKI,Alto,轎車,汽油,"Alto 1.0, City",2009,2014,N/A
SUZUKI,Alto,轎車,汽油,"Alto 1.0, Club",2009,2014,N/A
SUZUKI,Alto,轎車,汽油,"Alto 1.0, Club City",2009,2014,N/A
SUZUKI,Alto,轎車,汽油,"Alto 1.0, Comfort",2009,2014,N/A
SUZUKI,Alto,轎車,汽油,"Alto 1.0, Comfort City",2009,2014,N/A
SUZUKI,Baleno,高背掀背車,汽油,"Baleno 1.0 Boosterjet Automatik, Comfort",2016,2019,N/A
SUZUKI,Baleno,高背掀背車,汽油,"Baleno 1.0 Boosterjet, Comfort",2016,2019,N/A
SUZUKI,Baleno,高背掀背車,汽油,"Baleno 1.2 Dualjet (SHVS) Hybrid, Comfort",2016,2019,N/A
SUZUKI,Baleno,高背掀背車,汽油,"Baleno 1.2 Dualjet, Basic",2016,2019,N/A
SUZUKI,Baleno,高背掀背車,汽油,"Baleno 1.2 Dualjet, Club",2016,2019,N/A
SUZUKI,Celerio,高背掀背車,汽油,"Celerio 1.0 AGS, Club",2014,2019,N/A
SUZUKI,Celerio,高背掀背車,汽油,"Celerio 1.0 Dualjet, Basic",2014,2019,N/A
SUZUKI,Celerio,高背掀背車,汽油,"Celerio 1.0 Dualjet, Club",2014,2019,N/A
SUZUKI,Celerio,高背掀背車,汽油,"Celerio 1.0 Dualjet, Comfort",2014,2019,N/A
SUZUKI,Celerio,高背掀背車,汽油,"Celerio 1.0 ECO+, Club",2014,2019,N/A
SUZUKI,Celerio,高背掀背車,汽油,"Celerio 1.0, Basic",2014,2019,N/A
SUZUKI,Celerio,高背掀背車,汽油,"Celerio 1.0, Club",2014,2019,N/A
SUZUKI,Celerio,高背掀背車,汽油,"Celerio 1.0, Comfort",2014,2019,N/A
SUZUKI,E Vitara,休旅車,電力,"e VITARA eAxle (49 kWh), Club seit 01/2026",2025,至今,N/A
SUZUKI,E Vitara,休旅車,電力,"e VITARA eAxle (61 kWh) Allgrip-e, Comfort seit 01/2026",2025,至今,N/A
SUZUKI,E Vitara,休旅車,電力,"e VITARA eAxle (61 kWh) Allgrip-e, Comfort+ seit 01/2026",2025,至今,N/A
SUZUKI,E Vitara,休旅車,電力,"e VITARA eAxle (61 kWh), Comfort seit 01/2026",2025,至今,N/A
SUZUKI,E Vitara,休旅車,電力,"e VITARA eAxle (61 kWh), Comfort+ seit 01/2026",2025,至今,N/A
SUZUKI,Grand Vitara,精選型,柴油,"Grand Vitara 1.9 DDiS, Black&White DPF",2005,2015,N/A
SUZUKI,Grand Vitara,精選型,柴油,"Grand Vitara 1.9 DDiS, Club",2005,2015,N/A
SUZUKI,Grand Vitara,精選型,柴油,"Grand Vitara 1.9 DDiS, Club DPF",2005,2015,N/A
SUZUKI,Grand Vitara,精選型,汽油,"Grand Vitara 1.6, Black&White",2005,2015,N/A
SUZUKI,Grand Vitara,精選型,汽油,"Grand Vitara 1.6, City",2005,2015,N/A
SUZUKI,Grand Vitara,精選型,汽油,"Grand Vitara 1.6, Club",2005,2015,N/A
SUZUKI,Grand Vitara,精選型,汽油,"Grand Vitara 1.6, Comfort",2005,2015,N/A
SUZUKI,Grand Vitara,精選型,汽油,"Grand Vitara 2.0 Automatik, Comfort",2005,2015,N/A
SUZUKI,Grand Vitara,精選型,汽油,"Grand Vitara 2.0 Automatik, Comfort +",2005,2015,N/A
SUZUKI,Grand Vitara,精選型,汽油,"Grand Vitara 2.0 Automatik, Comfort + Family",2005,2015,N/A
SUZUKI,Grand Vitara,精選型,汽油,"Grand Vitara 2.0 Automatik, Comfort Family",2005,2015,N/A
SUZUKI,Grand Vitara,精選型,汽油,"Grand Vitara 2.0 Automatik, Comfort Limited",2005,2015,N/A
SUZUKI,Grand Vitara,精選型,汽油,"Grand Vitara 2.0, Club",2005,2015,N/A
SUZUKI,Grand Vitara,精選型,汽油,"Grand Vitara 2.0, Club Family",2005,2015,N/A
SUZUKI,Grand Vitara,精選型,汽油,"Grand Vitara 2.0, Comfort",2005,2015,N/A
SUZUKI,Grand Vitara,精選型,汽油,"Grand Vitara 2.0, Comfort +",2005,2015,N/A
SUZUKI,Grand Vitara,精選型,汽油,"Grand Vitara 2.0, Comfort + Family",2005,2015,N/A
SUZUKI,Grand Vitara,精選型,汽油,"Grand Vitara 2.0, Comfort Family",2005,2015,N/A
SUZUKI,Grand Vitara,精選型,汽油,"Grand Vitara 2.0, Comfort Limited",2005,2015,N/A
SUZUKI,Grand Vitara,精選型,汽油,"Grand Vitara 2.4 Automatik, Comfort",2005,2015,N/A
SUZUKI,Grand Vitara,精選型,汽油,"Grand Vitara 2.4 Automatik, Comfort Limited",2005,2015,N/A
SUZUKI,Grand Vitara,精選型,汽油,"Grand Vitara 2.4 Automatik, Comfort+",2005,2015,N/A
SUZUKI,Grand Vitara,精選型,汽油,"Grand Vitara 2.4, Club",2005,2015,N/A
SUZUKI,Grand Vitara,精選型,汽油,"Grand Vitara 2.4, Comfort",2005,2015,N/A
SUZUKI,Grand Vitara,精選型,汽油,"Grand Vitara 2.4, Comfort Limited",2005,2015,N/A
SUZUKI,Grand Vitara,精選型,汽油,"Grand Vitara 2.4, Comfort+",2005,2015,N/A
SUZUKI,Grand Vitara,精選型,汽油,"Grand Vitara 3.2 Automatik, Comfort+ 20 Jahre",2005,2015,N/A
SUZUKI,Ignis,休旅車,汽油,"Ignis  Dualjet Allgrip, Intro Edition",2016,2025,N/A
SUZUKI,Ignis,休旅車,汽油,"Ignis 1.2 Dualjet Hybrid Allgrip, Comfort",2016,2025,N/A
SUZUKI,Ignis,休旅車,汽油,"Ignis 1.2 Dualjet Hybrid Allgrip, Comfort+",2016,2025,N/A
SUZUKI,Ignis,休旅車,汽油,"Ignis 1.2 Dualjet Hybrid CVT, Comfort",2016,2025,N/A
SUZUKI,Ignis,休旅車,汽油,"Ignis 1.2 Dualjet Hybrid, Club",2016,2025,N/A
SUZUKI,Ignis,休旅車,汽油,"Ignis 1.2 Dualjet Hybrid, Comfort",2016,2025,N/A
SUZUKI,Ignis,休旅車,汽油,"Ignis 1.2 Dualjet Hybrid, Comfort+",2016,2025,N/A
SUZUKI,Ignis,休旅車,汽油,Ignis Dualjet,2016,2025,N/A
SUZUKI,Ignis,休旅車,汽油,"Ignis Dualjet AGS, Comfort+",2016,2025,N/A
SUZUKI,Ignis,休旅車,汽油,"Ignis Dualjet Allgrip, Comfort",2016,2025,N/A
SUZUKI,Ignis,休旅車,汽油,"Ignis Dualjet Allgrip, Comfort+",2016,2025,N/A
SUZUKI,Ignis,休旅車,汽油,"Ignis Dualjet Allgrip, Intro Edition+",2016,2025,N/A
SUZUKI,Ignis,休旅車,汽油,"Ignis Dualjet, Club",2016,2025,N/A
SUZUKI,Ignis,休旅車,汽油,"Ignis Dualjet, Comfort",2016,2025,N/A
SUZUKI,Ignis,休旅車,汽油,"Ignis Dualjet, Comfort+",2016,2025,N/A
SUZUKI,Ignis,休旅車,汽油,"Ignis Dualjet, Intro Edition",2016,2025,N/A
SUZUKI,Ignis,休旅車,汽油,"Ignis Dualjet, Intro Edition+",2016,2025,N/A
SUZUKI,Ignis,休旅車,油電混合,"Ignis (SHVS) Hybrid, Comfort+",2016,2025,N/A
SUZUKI,Ignis,休旅車,油電混合,"Ignis 1.2 Dualjet Hybrid, Club",2016,2025,N/A
SUZUKI,Ignis,休旅車,油電混合,"Ignis 1.2 Dualjet Hybrid, Comfort",2016,2025,N/A
SUZUKI,Jimny,休旅車,汽油,"Jimny 1.5 ALLGRIP Automatik, Comfort",2018,2024,N/A
SUZUKI,Jimny,休旅車,汽油,"Jimny 1.5 ALLGRIP Automatik, Comfort+",2018,2024,N/A
SUZUKI,Jimny,休旅車,汽油,"Jimny 1.5 ALLGRIP, Comfort",2018,2024,N/A
SUZUKI,Jimny,休旅車,汽油,"Jimny 1.5 ALLGRIP, Comfort+",2018,2024,N/A
SUZUKI,Kizashi,轎車,汽油,"Kizashi 2.4 4x2, Sport",2010,2014,N/A
SUZUKI,Kizashi,轎車,汽油,"Kizashi 2.4 4x4 CVT, Sport",2010,2014,N/A
SUZUKI,Liana,旅行車,柴油,"Liana Kombi 1.4 DDiS, Comfort",2001,2008,N/A
SUZUKI,Liana,旅行車,柴油,"Liana Kombi 1.4 DDiS, Comfort Family",2001,2008,N/A
SUZUKI,Liana,旅行車,汽油,"Liana Kombi 1.3, Club",2001,2008,N/A
SUZUKI,Liana,旅行車,汽油,"Liana Kombi 1.6 4WD, Comfort",2001,2008,N/A
SUZUKI,Liana,旅行車,汽油,"Liana Kombi 1.6 4WD, Snow",2001,2008,N/A
SUZUKI,Liana,旅行車,汽油,"Liana Kombi 1.6 Automatik, Comfort",2001,2008,N/A
SUZUKI,Liana,旅行車,汽油,"Liana Kombi 1.6, Comfort",2001,2008,N/A
SUZUKI,Liana,旅行車,汽油,"Liana Kombi 1.6, Comfort Family",2001,2008,N/A
SUZUKI,Splash,轎車,柴油,"Splash 1.3 DDiS, Club",2008,2014,N/A
SUZUKI,Splash,轎車,柴油,"Splash 1.3 DDiS, Comfort",2008,2014,N/A
SUZUKI,Splash,轎車,汽油,"Splash 1.0, Basic",2008,2014,N/A
SUZUKI,Splash,轎車,汽油,"Splash 1.0, Club",2008,2014,N/A
SUZUKI,Splash,轎車,汽油,"Splash 1.0, Comfort",2008,2014,N/A
SUZUKI,Splash,轎車,汽油,"Splash 1.2 Automatik, Club",2008,2014,N/A
SUZUKI,Splash,轎車,汽油,"Splash 1.2 Automatik, Comfort",2008,2014,N/A
SUZUKI,Splash,轎車,汽油,"Splash 1.2 Automatik, active+",2008,2014,N/A
SUZUKI,Splash,轎車,汽油,"Splash 1.2, Club",2008,2014,N/A
SUZUKI,Splash,轎車,汽油,"Splash 1.2, Comfort",2008,2014,N/A
SUZUKI,Splash,轎車,汽油,"Splash 1.2, Germany's next Topmodel",2008,2014,N/A
SUZUKI,Splash,轎車,汽油,"Splash 1.2, active+",2008,2014,N/A
SUZUKI,Swace,旅行車,油電混合,"Swace 1.8 Hybrid CVT, Comfort+",2021,至今,N/A
SUZUKI,Swace,旅行車,油電混合,"Swace 1.8 Hybrid CVT, Comfort+ seit 03/2023",2021,至今,N/A
SUZUKI,Swift,高背掀背車,汽油,"Swift 1.2 Dualjet Hybrid Allgrip MT, Club seit 09/2024",2024,至今,N/A
SUZUKI,Swift,高背掀背車,汽油,"Swift 1.2 Dualjet Hybrid Allgrip MT, Comfort seit 04/2024",2024,至今,N/A
SUZUKI,Swift,高背掀背車,汽油,"Swift 1.2 Dualjet Hybrid Allgrip MT, Comfort+ seit 04/2024",2024,至今,N/A
SUZUKI,Swift,高背掀背車,汽油,"Swift 1.2 Dualjet Hybrid CVT, Comfort seit 04/2024",2024,至今,N/A
SUZUKI,Swift,高背掀背車,汽油,"Swift 1.2 Dualjet Hybrid CVT, Comfort+ seit 04/2024",2024,至今,N/A
SUZUKI,Swift,高背掀背車,汽油,"Swift 1.2 Dualjet Hybrid MT, Club seit 04/2024",2024,至今,N/A
SUZUKI,Swift,高背掀背車,汽油,"Swift 1.2 Dualjet Hybrid MT, Comfort seit 04/2024",2024,至今,N/A
SUZUKI,Swift,高背掀背車,汽油,"Swift 1.2 Dualjet Hybrid MT, Comfort+ seit 04/2024",2024,至今,N/A
SUZUKI,Sx4,高背掀背車,柴油,"SX4 S-Cross 1.6 DDiS, 4x2 Club",2013,至今,N/A
SUZUKI,Sx4,高背掀背車,柴油,"SX4 S-Cross 1.6 DDiS, 4x2 Comfort",2013,至今,N/A
SUZUKI,Sx4,高背掀背車,柴油,"SX4 S-Cross 1.6 DDiS, 4x2 Comfort+",2013,至今,N/A
SUZUKI,Sx4,高背掀背車,汽油,"SX4 S-Cross 1.6 VVT CVT, 4x2 Comfort",2013,至今,N/A
SUZUKI,Sx4,高背掀背車,汽油,"SX4 S-Cross 1.6 VVT CVT, 4x2 Comfort+",2013,至今,N/A
SUZUKI,Sx4,高背掀背車,汽油,"SX4 S-Cross 1.6 VVT CVT, 4x2 limited",2013,至今,N/A
