Brand,Model,Category,Fuel_Type,Typ,Start_Year,End_Year,HSN_TSN
TATA,Indica Vista,高背掀背車,柴油,"Indica 1.3 Diesel, Vista Quadrajet",2009,2012,N/A
TATA,Indica Vista,高背掀背車,柴油,"Indica 1.4 Turbodiesel, DLX",2009,2012,N/A
TATA,Indica Vista,高背掀背車,汽油,"Indica 1.4, GLX",2009,2012,N/A
TATA,Indica Vista,高背掀背車,汽油,"Indica 1.4, Vista Safire",2009,2012,N/A
TATA,Indica Vista,高背掀背車,汽油/天然氣,"Indica 1.4 Erdgas, GLX",2009,2012,N/A
TATA,Indica Vista,高背掀背車,汽油/天然氣,"Indica 1.4 LPG, GLX",2009,2012,N/A
TATA,Manza,旅行車,柴油,"Indigo 1.4 Turbodiesel, DLX",2009,2012,N/A
TATA,Manza,旅行車,汽油,"Indigo 1.4, GLX",2009,2012,N/A
TATA,Manza,旅行車,汽油/天然氣,"Indigo 1.4 Erdgas, GLX",2009,2012,N/A
TATA,Manza,旅行車,汽油/天然氣,"Indigo 1.4 LPG, GLX",2009,2012,N/A
