Brand,Model,Category,Fuel_Type,Typ,Start_Year,End_Year,HSN_TSN
TOYOTA,Auris,高背掀背車,柴油,Auris 1.4 D-4D,2012,2019,N/A
TOYOTA,Auris,高背掀背車,柴油,"Auris 1.4 D-4D, Comfort",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.2 Turbo Multidrive S, Comfort",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.2 Turbo Multidrive S, Design Edition",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.2 Turbo Multidrive S, Edition S+",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.2 Turbo Multidrive S, Edition-S",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.2 Turbo Multidrive S, Executive",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.2 Turbo Multidrive S, Team Deutschland",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.2 Turbo, Comfort",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.2 Turbo, Design Edition",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.2 Turbo, Edition S+",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.2 Turbo, Edition-S",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.2 Turbo, Executive",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.2 Turbo, Team Deutschland",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,Auris 1.33 Dual-VVT-i,2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.33 Dual-VVT-i, Comfort",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.33 Dual-VVT-i, Cool",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.33 Dual-VVT-i, Design Edition",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.33 Dual-VVT-i, Edition",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.33 Dual-VVT-i, Edition-S",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.33 Dual-VVT-i, Life",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.33 Dual-VVT-i, Life Plus",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.33 Dual-VVT-i, START Edition",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.6 Valvematic Multidrive S, Comfort",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.6 Valvematic Multidrive S, Edition",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.6 Valvematic Multidrive S, Executive",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.6 Valvematic Multidrive S, Life",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.6 Valvematic Multidrive S, Life Plus",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.6 Valvematic Multidrive S, START Edition",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.6 Valvematic, Comfort",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.6 Valvematic, Edition",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.6 Valvematic, Executive",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.6 Valvematic, Life",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.6 Valvematic, Life Plus",2012,2019,N/A
TOYOTA,Auris,高背掀背車,汽油,"Auris 1.6 Valvematic, START Edition",2012,2019,N/A
TOYOTA,Auris,高背掀背車,油電混合,"Auris 1.8 VVT-i Hybrid Automatik, Comfort",2012,2019,N/A
TOYOTA,Auris,高背掀背車,油電混合,"Auris 1.8 VVT-i Hybrid Automatik, Cool",2012,2019,N/A
TOYOTA,Avensis,旅行車,柴油,Avensis Combi 2.0 D-4D,2009,2019,N/A
TOYOTA,Avensis,旅行車,柴油,"Avensis Combi 2.0 D-4D, Business Edition",2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,Avensis Combi 1.6,2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,"Avensis Combi 1.6, Business Edition",2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,"Avensis Combi 1.6, Comfort",2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,"Avensis Combi 1.6, Edition",2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,"Avensis Combi 1.6, Edition (2014)",2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,"Avensis Combi 1.6, Life",2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,"Avensis Combi 1.6, Sol",2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,"Avensis Combi 1.8 Multidrive S, Comfort",2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,"Avensis Combi 1.8 Multidrive S, Edition",2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,"Avensis Combi 1.8 Multidrive S, Edition (2014)",2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,"Avensis Combi 1.8 Multidrive S, Executive",2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,"Avensis Combi 1.8 Multidrive S, Life",2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,"Avensis Combi 1.8 Multidrive S, Sol",2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,"Avensis Combi 1.8 Multidrive, Business Edition",2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,"Avensis Combi 1.8 Multidrive, Edition",2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,"Avensis Combi 1.8, Business Edition",2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,"Avensis Combi 1.8, Comfort",2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,"Avensis Combi 1.8, Edition",2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,"Avensis Combi 1.8, Edition (2014)",2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,"Avensis Combi 1.8, Executive",2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,"Avensis Combi 1.8, Life",2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,"Avensis Combi 1.8, Sol",2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,"Avensis Combi 2.0 Multidrive S, Executive",2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,"Avensis Combi 2.0, Executive",2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,Avensis Touring Sports 1.6,2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,"Avensis Touring Sports 1.8 Multidrive S, Business Edition",2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,"Avensis Touring Sports 1.8 Multidrive S, Comfort",2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,"Avensis Touring Sports 1.8 Multidrive S, Edition S+",2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,"Avensis Touring Sports 1.8 Multidrive S, Edition-S",2009,2019,N/A
TOYOTA,Avensis,旅行車,汽油,"Avensis Touring Sports 1.8 Multidrive S, Executive",2009,2019,N/A
