Brand,Model,Category,Fuel_Type,Typ,Start_Year,End_Year,HSN_TSN
VOLVO,C30,高背掀背車,柴油,C30 1.6D,2006,2012,N/A
VOLVO,C30,高背掀背車,柴油,"C30 1.6D, Edition",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,C30 1.6,2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 1.6, Edition",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 1.6, Kinetic",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 1.6, Momentum",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 1.6, RDesign",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 1.6, Summum",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,C30 1.8,2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 1.8, Edition",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 1.8, Kinetic",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 1.8, Momentum",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 1.8, RDesign",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 1.8, Summum",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,C30 2.0,2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 2.0, Edition",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 2.0, Edition Pro",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 2.0, Kinetic",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 2.0, Momentum",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 2.0, RDesign",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 2.0, RDesign Edition",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 2.0, RDesign Edition Pro",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 2.0, Summum",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,C30 2.4i,2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,C30 2.4i Aut.,2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 2.4i Aut., Edition",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 2.4i Aut., Kinetic",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 2.4i Aut., Momentum",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 2.4i Aut., RDesign",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 2.4i Aut., Summum",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 2.4i, Edition",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 2.4i, Kinetic",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 2.4i, Momentum",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 2.4i, RDesign",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 2.4i, Summum",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 T5 Aut., Edition",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 T5 Aut., Edition Pro",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 T5 Aut., Kinetic",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 T5 Aut., Momentum",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 T5 Aut., RDesign",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 T5 Aut., RDesign Edition",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 T5 Aut., RDesign Edition Pro",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 T5 Aut., Summum",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 T5, Edition",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 T5, Edition Pro",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 T5, Kinetic",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 T5, Momentum",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 T5, RDesign",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 T5, RDesign Edition",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 T5, RDesign Edition Pro",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油,"C30 T5, Summum",2006,2012,N/A
VOLVO,C30,高背掀背車,汽油/酒精混合,C30 1.8F Flexi Fuel,2006,2012,N/A
VOLVO,C30,高背掀背車,汽油/酒精混合,"C30 1.8F Flexi Fuel, Edition",2006,2012,N/A
VOLVO,C40 Recharge,休旅車,電力,"C40 Recharge 69 kWh Single Motor RWD, Core",2021,至今,N/A
VOLVO,C40 Recharge,休旅車,電力,"C40 Recharge 69 kWh Single Motor RWD, Plus",2021,至今,N/A
VOLVO,C40 Recharge,休旅車,電力,"C40 Recharge 82 kWh Single M. Extended Range RWD, Core",2021,至今,N/A
VOLVO,C40 Recharge,休旅車,電力,"C40 Recharge 82 kWh Single M. Extended Range RWD, Plus",2021,至今,N/A
VOLVO,C40 Recharge,休旅車,電力,"C40 Recharge 82 kWh Single M. Extended Range RWD, Ultimate",2021,至今,N/A
VOLVO,C40 Recharge,休旅車,電力,"C40 Recharge 82 kWh Twin Motor, Plus",2021,至今,N/A
VOLVO,C40 Recharge,休旅車,電力,"C40 Recharge 82 kWh Twin Motor, Ultimate",2021,至今,N/A
VOLVO,C40 Recharge,休旅車,電力,"C40 Recharge Single Motor, Core",2021,至今,N/A
VOLVO,C40 Recharge,休旅車,電力,"C40 Recharge Single Motor, Plus",2021,至今,N/A
VOLVO,C40 Recharge,休旅車,電力,"C40 Recharge Single Motor, Ultimate",2021,至今,N/A
VOLVO,C40 Recharge,休旅車,電力,"C40 Recharge Twin Motor, Core",2021,至今,N/A
VOLVO,C40 Recharge,休旅車,電力,"C40 Recharge Twin Motor, Plus",2021,至今,N/A
VOLVO,C40 Recharge,休旅車,電力,"C40 Recharge Twin Motor, Ultimate",2021,至今,N/A
VOLVO,C40 Recharge,休旅車,電力,"C40 Recharge, 1st Edition",2021,至今,N/A
VOLVO,C40 Recharge,休旅車,電力,"EC40 Fully Electric Single M. Extended Range RWD, Core seit 02/2024",2021,至今,N/A
VOLVO,C40 Recharge,休旅車,電力,"EC40 Fully Electric Single M. Extended Range RWD, Plus Black Edition seit 02/2024",2021,至今,N/A
VOLVO,C40 Recharge,休旅車,電力,"EC40 Fully Electric Single M. Extended Range RWD, Plus Dark seit 02/2024",2021,至今,N/A
VOLVO,C40 Recharge,休旅車,電力,"EC40 Fully Electric Single M. Extended Range RWD, Ultra Black Edition seit 02/2024",2021,至今,N/A
VOLVO,C40 Recharge,休旅車,電力,"EC40 Fully Electric Single M. Extended Range RWD, Ultra Dark seit 02/2024",2021,至今,N/A
VOLVO,C40 Recharge,休旅車,電力,"EC40 Fully Electric Single Motor RWD, Core seit 02/2024",2021,至今,N/A
VOLVO,C40 Recharge,休旅車,電力,"EC40 Fully Electric Single Motor RWD, Plus Black Edition seit 02/2024",2021,至今,N/A
VOLVO,C40 Recharge,休旅車,電力,"EC40 Fully Electric Single Motor RWD, Plus Dark seit 02/2024",2021,至今,N/A
VOLVO,C40 Recharge,休旅車,電力,"EC40 Fully Electric Twin Motor AWD, Core",2021,至今,N/A
