Brand,Model,Category,Fuel_Type,Typ,Start_Year,End_Year,HSN_TSN
VW,Amarok,皮卡,柴油,Amarok 2.0 BiTDI,2010,至今,N/A
VW,Amarok,皮卡,柴油,Amarok 2.0 BiTDI 4MOTION,2010,至今,N/A
VW,Amarok,皮卡,柴油,Amarok 2.0 BiTDI 4MOTION Autm.,2010,至今,N/A
VW,Amarok,皮卡,柴油,Amarok 2.0 BiTDI 4MOTION Autm. BMT,2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI 4MOTION Autm. BMT, Ultimate",2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI 4MOTION Autm., Advantage",2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI 4MOTION Autm., Atacama",2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI 4MOTION Autm., Canyon",2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI 4MOTION Autm., Dark Label",2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI 4MOTION Autm., Highline",2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI 4MOTION Autm., Trendline",2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI 4MOTION Autm., Ultimate",2010,至今,N/A
VW,Amarok,皮卡,柴油,Amarok 2.0 BiTDI 4MOTION BMT,2010,至今,N/A
VW,Amarok,皮卡,柴油,Amarok 2.0 BiTDI 4MOTION BMT Autm.,2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI 4MOTION BMT Autm., Advantage",2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI 4MOTION BMT Autm., Atacama",2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI 4MOTION BMT Autm., Dark Label",2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI 4MOTION BMT Autm., Highline",2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI 4MOTION BMT Autm., Trendline",2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI 4MOTION BMT, Advantage",2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI 4MOTION BMT, Atacama",2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI 4MOTION BMT, Dark Label",2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI 4MOTION BMT, Highline",2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI 4MOTION BMT, Trendline",2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI 4MOTION BMT, Ultimate",2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI 4MOTION, Advantage",2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI 4MOTION, Atacama",2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI 4MOTION, Canyon",2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI 4MOTION, Dark Label",2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI 4MOTION, Highline",2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI 4MOTION, Trendline",2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI 4MOTION, Ultimate",2010,至今,N/A
VW,Amarok,皮卡,柴油,Amarok 2.0 BiTDI Autm.,2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI Autm. BMT, Ultimate",2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI Autm., Atacama",2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI Autm., Dark Label",2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI Autm., Highline",2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI Autm., Trendline",2010,至今,N/A
VW,Amarok,皮卡,柴油,"Amarok 2.0 BiTDI Autm., Ultimate",2010,至今,N/A
